,scenario,segmenter,matchingNetwork,graspingNetwork,meanRunSuccess,STDRunSuccess,predictionSuccesPerRun,meanPredictionSuccessPerRun,STDPredictionSuccessPerRun ,meanRunsWithoutPileManipulation,STDRunsWithoutPileManipulation,meanPileManipulations,STDPileManipulations,meanRunsWithCorrectPredictionPerRun,STDRunsWithCorrectPredictionPerRun
0,packed,kmeans,CGR_ConvNet,CGR_ConvNet,25.0,4.330127018922194,0.50625,0.475,0.4674446377249638,33.0,4.702127178203499,1.61,1.2862520921049825,55.00000000000001,4.9749371855331
1,packed,kmeans,GOOD,CGR_ConvNet,20.0,4.0,0.3772455089820359,0.3466666666666666,0.42022387278065226,18.0,3.8418745424597094,1.95,1.1492202011394816,45.0,4.9749371855331
2,packed,kmeans,GOOD,CGR_ConvNet,20.0,4.0,0.3772455089820359,0.3466666666666666,0.42022387278065226,18.0,3.8418745424597094,1.95,1.1492202011394816,45.0,4.9749371855331
3,packed,kmeans,mobileNetV2,CGR_ConvNet,48.0,4.995998398718719,0.6503067484662577,0.6416666666666667,0.4465700433207206,26.0,4.386342439892261,1.6,1.214391812697811,70.0,4.582575694955841
4,packed,synthetic,CGR_ConvNet,CGR_ConvNet,42.0,4.935585071701227,0.5231788079470199,0.5733333333333334,0.4692090438427135,36.0,4.8,1.61,1.3095993681468028,63.0,4.828043081829324
5,packed,synthetic,GOOD,CGR_ConvNet,18.0,3.8418745424597094,0.3125,0.31166666666666665,0.4107526419688613,26.0,4.386342439892261,1.57,1.1656272425981082,41.0,4.9183330509431755
6,packed,synthetic,GOOD,CGR_ConvNet,18.0,3.8418745424597094,0.3125,0.31166666666666665,0.4107526419688613,26.0,4.386342439892261,1.57,1.1656272425981082,41.0,4.9183330509431755
7,packed,synthetic,mobileNetV2,CGR_ConvNet,61.0,4.877499359302879,0.7898089171974523,0.7966666666666665,0.367431097856834,59.0,4.9183330509431755,0.94,1.2376256185604642,85.0,3.570714214271425
8,packed,synthetic,mobileNetV2,CGR_ConvNet,60.0,4.898979485566356,0.7666666666666667,0.7666666666666666,0.3928371006591931,59.0,4.9183330509431755,0.91,1.2316942425255981,82.0,3.84187454245971
9,packed,watershed,CGR_ConvNet,CGR_ConvNet,20.0,4.0,0.21428571428571427,0.23166666666666663,0.3833626105054558,81.0,3.9230090491866054,0.32,0.7504880566886613,31.0,4.624932431938871
10,packed,watershed,CGR_ConvNet,CGR_ConvNet,20.0,4.0,0.21428571428571427,0.23166666666666663,0.3833626105054558,81.0,3.9230090491866054,0.32,0.7504880566886613,31.0,4.624932431938871
11,packed,watershed,GOOD,CGR_ConvNet,16.0,3.666060555964672,0.17703349282296652,0.18166666666666664,0.34254526927681855,66.0,4.737087712930804,0.61,0.9733312577810996,26.0,4.386342439892261
12,packed,watershed,GOOD,CGR_ConvNet,16.0,3.666060555964672,0.17703349282296652,0.18166666666666664,0.34254526927681855,66.0,4.737087712930804,0.61,0.9733312577810996,26.0,4.386342439892261
13,packed,watershed,GR_ConvNet,CGR_ConvNet,13.0,3.3630343441600474,0.18269230769230768,0.18666666666666665,0.32933630500710837,67.0,4.702127178203498,0.59,0.9857059204530335,28.999999999999996,4.537620521815371
14,packed,watershed,mobileNetV2,CGR_ConvNet,26.0,4.386342439892261,0.2857142857142857,0.29666666666666663,0.36282035266130674,70.0,4.582575694955841,0.62,1.0519822558706333,49.0,4.998999899979995
15,packed,watershed,mobileNetV2,CGR_ConvNet,26.0,4.386342439892261,0.2857142857142857,0.29666666666666663,0.36282035266130674,70.0,4.582575694955841,0.62,1.0519822558706333,49.0,4.998999899979995
16,pile,kmeans,CGR_ConvNet,CGR_ConvNet,23.0,4.208325082500163,0.4692737430167598,0.44166666666666665,0.4674446377249638,20.0,4.0,2.04,1.1884970561702088,51.0,4.998999899979995
17,pile,kmeans,GOOD,CGR_ConvNet,14.000000000000002,3.4698703145794947,0.3776595744680851,0.39,0.42125087630251185,6.0,2.3748684174075834,2.44,0.8912594652195476,53.0,4.990991885387112
18,pile,kmeans,mobileNetV2,CGR_ConvNet,27.0,4.439594576084623,0.601063829787234,0.6016666666666667,0.453131639623943,12.0,3.249615361854384,2.19,1.098161917004772,68.0,4.66476151587624
19,pile,synthetic,CGR_ConvNet,CGR_ConvNet,32.0,4.66476151587624,0.4648648648648649,0.415,0.46631480241302115,27.0,4.439594576084623,1.79,1.257663377743493,47.0,4.990991885387112
20,pile,synthetic,GOOD,CGR_ConvNet,18.0,3.8418745424597094,0.31,0.30999999999999994,0.4034225073249955,26.0,4.386342439892261,1.6,1.1891767800211261,44.0,4.963869458396343
21,pile,synthetic,mobileNetV2,CGR_ConvNet,44.0,4.963869458396343,0.6411764705882353,0.6183333333333333,0.45337925594298684,42.0,4.935585071701227,1.24,1.2153895331011029,69.0,4.624932431938872
22,pile,synthetic,mobileNetV2,CGR_ConvNet,38.0,4.853864439804639,0.6166666666666667,0.57,0.44770270318338534,36.0,4.8,1.39,1.262473122026122,67.0,4.702127178203498
23,pile,watershed,CGR_ConvNet,CGR_ConvNet,17.0,3.7563279941985894,0.2222222222222222,0.2383333333333333,0.3475543865747992,79.0,4.0730823708832595,0.37,0.8122173167921068,38.0,4.853864439804639
24,pile,watershed,GOOD,CGR_ConvNet,11.0,3.1288975694324033,0.1574468085106383,0.15166666666666667,0.26495134339323706,67.0,4.702127178203498,0.69,1.0889249633273985,30.0,4.58257569495584
25,pile,watershed,mobileNetV2,CGR_ConvNet,19.0,3.9230090491866063,0.2703862660944206,0.27833333333333327,0.37007521909606583,66.0,4.737087712930804,0.68,1.0719565798533581,43.0,4.950757517794625
